workload_type,block_size,journal_modes,io_schedulers,read_ahead_sizes,barriers,noatime_options,commit_intervals,io_engines,mean_latency,bandwidth,iops
write,2048,ordered,mq-deadline,128,on,noatime,30,libaio,468.9749596,67061,33530.8263
randread,2048,ordered,mq-deadline,128,on,noatime,30,libaio,354.6990813,72295,36147.82129
randwrite,2048,ordered,mq-deadline,128,on,noatime,30,libaio,1320.534942,24111,12055.92347
rw,2048,ordered,mq-deadline,128,on,noatime,30,libaio,425.0744809,37508,18754.3759
randrw,2048,ordered,mq-deadline,128,on,noatime,30,libaio,1090.116139,14329,7164.985749
read,2048,ordered,mq-deadline,128,on,atime,5,sync,1.277608833,284321,142160.5206
write,2048,ordered,mq-deadline,128,on,atime,5,sync,53.70203402,36756,18378.01458
randread,2048,ordered,mq-deadline,128,on,atime,5,sync,29.19517874,56061,28030.79555
randwrite,2048,ordered,mq-deadline,128,on,atime,5,sync,104.6839021,18856,9428.2837
rw,2048,ordered,mq-deadline,128,on,atime,5,sync,9.203131,71430,35715.30055
randrw,2048,ordered,mq-deadline,128,on,atime,5,sync,151.3808703,7843,3921.932193
read,2048,ordered,mq-deadline,128,on,atime,5,libaio,60.25765853,215756,107878.1893
write,2048,ordered,mq-deadline,128,on,atime,5,libaio,1249.915015,25418,12709.39591
randread,2048,ordered,mq-deadline,128,on,atime,5,libaio,586.106191,53608,26804.08998
